case,category,process,label,type,name,index,phase,min_index,max_index,parameter_scale,min_arith,max_arith,init_arith_value,final_arith_value,min_param,max_param,init_param_value,final_param_value,stdv
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,22,1,1,50, ARITHMETIC,-5,5,-0.878204874525,-0.918814208637,-5,5,-0.878204874525,-0.918814208637,0.23984
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,23,1,1,50, ARITHMETIC,-5,5,0.0252381158266,0.0362440005404,-5,5,0.0252381158266,0.0362440005404,0.11679
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,24,1,1,50, ARITHMETIC,-5,5,-0.986480201039,-0.950891856605,-5,5,-0.986480201039,-0.950891856605,0.23776
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,25,1,1,50, ARITHMETIC,-5,5,0.580641898306,0.602798273477,-5,5,0.580641898306,0.602798273477,0.097525
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,26,1,1,50, ARITHMETIC,-5,5,-0.572003997784,-0.547377739618,-5,5,-0.572003997784,-0.547377739618,0.27976
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,27,1,1,50, ARITHMETIC,-5,5,0.954331006608,0.983538567862,-5,5,0.954331006608,0.983538567862,0.09974
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,28,1,1,50, ARITHMETIC,-5,5,-0.266277781059,-0.25642588868,-5,5,-0.266277781059,-0.25642588868,0.28733
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,29,1,1,50, ARITHMETIC,-5,5,1.05754903274,1.099116823,-5,5,1.05754903274,1.099116823,0.10333
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,30,1,1,50, ARITHMETIC,-5,5,0.448148347922,0.428879856467,-5,5,0.448148347922,0.428879856467,0.15331
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,31,1,1,50, ARITHMETIC,-5,5,-0.666745042154,-0.647160204661,-5,5,-0.666745042154,-0.647160204661,0.26627
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,32,1,1,50, ARITHMETIC,-5,5,-1.12135249256,-0.970079203113,-5,5,-1.12135249256,-0.970079203113,0.30424
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,33,1,1,50, ARITHMETIC,-5,5,-0.569227941285,-0.808019563598,-5,5,-0.569227941285,-0.808019563598,0.29957
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,34,1,1,50, ARITHMETIC,-5,5,-0.0887655592729,0.0525779985417,-5,5,-0.0887655592729,0.0525779985417,0.24073
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,35,1,1,50, ARITHMETIC,-5,5,1.34078213571,1.34937008188,-5,5,1.34078213571,1.34937008188,0.096653
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,36,1,1,50, ARITHMETIC,-5,5,0.328964320839,0.3585414748,-5,5,0.328964320839,0.3585414748,0.18315
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,37,1,1,50, ARITHMETIC,-5,5,-0.408245834182,-0.486020141604,-5,5,-0.408245834182,-0.486020141604,0.20159
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,38,1,1,50, ARITHMETIC,-5,5,-1.65968860767,-1.72406704835,-5,5,-1.65968860767,-1.72406704835,0.35164
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,39,1,1,50, ARITHMETIC,-5,5,-0.716075196916,-0.710067025997,-5,5,-0.716075196916,-0.710067025997,0.13743
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,40,1,1,50, ARITHMETIC,-5,5,-1.46655662404,-1.54107015301,-5,5,-1.46655662404,-1.54107015301,0.22673
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,41,1,1,50, ARITHMETIC,-5,5,-1.35922614296,-1.34636112975,-5,5,-1.35922614296,-1.34636112975,0.19496
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,42,1,1,50, ARITHMETIC,-5,5,-0.690300826235,-0.691341998419,-5,5,-0.690300826235,-0.691341998419,0.14121
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,43,1,1,50, ARITHMETIC,-5,5,0.762070461187,0.764397914656,-5,5,0.762070461187,0.764397914656,0.074158
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,44,1,1,50, ARITHMETIC,-5,5,0.207518454098,0.239152143798,-5,5,0.207518454098,0.239152143798,0.12494
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,45,1,1,50, ARITHMETIC,-5,5,0.351335108502,0.368400779617,-5,5,0.351335108502,0.368400779617,0.13788
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,46,1,1,50, ARITHMETIC,-5,5,-1.15765682722,-1.15733296155,-5,5,-1.15765682722,-1.15733296155,0.58594
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,47,1,1,50, ARITHMETIC,-5,5,1.16241833987,1.16621156862,-5,5,1.16241833987,1.16621156862,0.13751
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,48,1,1,50, ARITHMETIC,-5,5,1.73213670821,1.7385181559,-5,5,1.73213670821,1.7385181559,0.13713
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,49,1,1,50, ARITHMETIC,-5,5,1.46157277239,1.49169913946,-5,5,1.46157277239,1.49169913946,0.18581
22_03d5p,population processes,recruitment,current recruitment period, param_init_bounded_dev_vector,pDevsLnR,50,1,1,50, ARITHMETIC,-5,5,0.0502955200512,0.0798182224286,-5,5,0.0502955200512,0.0798182224286,0.41625
22_03d5p,population processes,natural mortality,base ln-scale M, param_init_bounded_number,pM[1],1,-1,1,1, LOG,0.135335283,2.718281828,0.229999993114,0.229999993114,-2.00000000175,0.999999999831,-1.469676,-1.469676,NA
22_03d5p,population processes,natural mortality,multiplier for immature crab, param_init_bounded_number,pDM1[1],1,4,1,1, ARITHMETIC,0.2,2,1.10373680141,1.09405452771,0.2,2,1.10373680141,1.09405452771,0.045723
22_03d5p,population processes,natural mortality,multiplier for mature males, param_init_bounded_number,pDM1[2],1,4,1,1, ARITHMETIC,0.1,1.9,1.39074495001,1.3937165788,0.1,1.9,1.39074495001,1.3937165788,0.036814
22_03d5p,population processes,natural mortality,multiplier for mature females, param_init_bounded_number,pDM1[3],1,4,1,1, ARITHMETIC,0.1,1.9,1.37235504319,1.38358831769,0.1,1.9,1.37235504319,1.38358831769,0.036911
22_03d5p,population processes,natural mortality,1980-1984 multiplier for mature males, param_init_bounded_number,pDM2[1],1,4,1,1, ARITHMETIC,0.1,10,2.32465179632,2.32315167486,0.1,10,2.32465179632,2.32315167486,0.23342
22_03d5p,population processes,natural mortality,1980-1984 multiplier for mature females, param_init_bounded_number,pDM2[2],1,4,1,1, ARITHMETIC,0.1,10,1.96185148286,1.98025830234,0.1,10,1.96185148286,1.98025830234,0.16027
22_03d5p,population processes,growth,males, param_init_bounded_number,pGrA[1],1,4,1,1, ARITHMETIC,25,40,32.2650258541,32.32708069,25,40,32.2650258541,32.32708069,0.22884
22_03d5p,population processes,growth,females, param_init_bounded_number,pGrA[2],1,4,1,1, ARITHMETIC,25,40,33.658337714300004,33.4463379409,25,40,33.658337714300004,33.4463379409,0.28514
22_03d5p,population processes,growth,males, param_init_bounded_number,pGrB[1],1,4,1,1, ARITHMETIC,130,180,166.347675325,165.062004652,130,180,166.347675325,165.062004652,0.66275
22_03d5p,population processes,growth,females, param_init_bounded_number,pGrB[2],1,4,1,1, ARITHMETIC,110,150,115.101596509,115.328620414,110,150,115.101596509,115.328620414,0.57391
22_03d5p,population processes,growth,both sexes, param_init_bounded_number,pGrBeta[1],1,5,1,1, ARITHMETIC,0.5,2,0.848782353329,0.766896148927,0.5,2,0.848782353329,0.766896148927,0.090821
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,1,4,1,17, ARITHMETIC,-15,15,-3.16214329044,-3.12947752918,-15,15,-3.16214329044,-3.12947752918,0.2032
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,2,4,1,17, ARITHMETIC,-15,15,-3.7220590414,-3.76481578547,-15,15,-3.7220590414,-3.76481578547,0.31425
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,3,4,1,17, ARITHMETIC,-15,15,-3.16399668302,-3.20564294208,-15,15,-3.16399668302,-3.20564294208,0.2635
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,4,4,1,17, ARITHMETIC,-15,15,-2.23035339696,-2.22499434154,-15,15,-2.23035339696,-2.22499434154,0.12455
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,5,4,1,17, ARITHMETIC,-15,15,-1.56371415913,-1.56954466658,-15,15,-1.56371415913,-1.56954466658,0.1153
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,6,4,1,17, ARITHMETIC,-15,15,-1.31266427773,-1.29797329499,-15,15,-1.31266427773,-1.29797329499,0.099637
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,7,4,1,17, ARITHMETIC,-15,15,-0.791311297155,-0.811751768883,-15,15,-0.791311297155,-0.811751768883,0.090905
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,8,4,1,17, ARITHMETIC,-15,15,-0.280351325686,-0.295293920368,-15,15,-0.280351325686,-0.295293920368,0.082357
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,9,4,1,17, ARITHMETIC,-15,15,-0.196016990858,-0.172075688097,-15,15,-0.196016990858,-0.172075688097,0.08458
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,10,4,1,17, ARITHMETIC,-15,15,0.152125727851,0.14216773079,-15,15,0.152125727851,0.14216773079,0.084726
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,11,4,1,17, ARITHMETIC,-15,15,0.583421247182,0.608118319813,-15,15,0.583421247182,0.608118319813,0.09032
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,12,4,1,17, ARITHMETIC,-15,15,1.08766999362,1.0619284082,-15,15,1.08766999362,1.0619284082,0.10877
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,13,4,1,17, ARITHMETIC,-15,15,1.68156643347,1.5542406093,-15,15,1.68156643347,1.5542406093,0.11577
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,14,4,1,17, ARITHMETIC,-15,15,2.70641494798,2.77196728888,-15,15,2.70641494798,2.77196728888,0.24928
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,15,4,1,17, ARITHMETIC,-15,15,3.14681343473,3.43077995275,-15,15,3.14681343473,3.43077995275,0.22733
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,16,4,1,17, ARITHMETIC,-15,15,3.65175652207,5.04713512695,-15,15,3.65175652207,5.04713512695,0.56299
22_03d5p,population processes,maturity,males 60-150 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,17,4,1,17, ARITHMETIC,-15,15,4.6651955685,6.97515459456,-15,15,4.6651955685,6.97515459456,1.2455
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,1,4,1,11, ARITHMETIC,-15,15,-5.30210973624,-6.81274471448,-15,15,-5.30210973624,-6.81274471448,0.9326
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,2,4,1,11, ARITHMETIC,-15,15,-4.0841550614,-5.04550315685,-15,15,-4.0841550614,-5.04550315685,0.41943
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,3,4,1,11, ARITHMETIC,-15,15,-2.89475312273,-3.29977054314,-15,15,-2.89475312273,-3.29977054314,0.19424
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,4,4,1,11, ARITHMETIC,-15,15,-1.6824218502,-1.70333333129,-15,15,-1.6824218502,-1.70333333129,0.1082
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,5,4,1,11, ARITHMETIC,-15,15,-0.544243926713,-0.44950977787,-15,15,-0.544243926713,-0.44950977787,0.084562
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,6,4,1,11, ARITHMETIC,-15,15,0.298149093078,0.303443462904,-15,15,0.298149093078,0.303443462904,0.085351
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,7,4,1,11, ARITHMETIC,-15,15,0.601692038606,0.635180527071,-15,15,0.601692038606,0.635180527071,0.095536
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,8,4,1,11, ARITHMETIC,-15,15,1.09370984141,1.26316386673,-15,15,1.09370984141,1.26316386673,0.13198
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,9,4,1,11, ARITHMETIC,-15,15,2.00114078932,2.41073260103,-15,15,2.00114078932,2.41073260103,0.23778
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,10,4,1,11, ARITHMETIC,-15,15,2.96094037753,3.86406321182,-15,15,2.96094037753,3.86406321182,0.49605
22_03d5p,population processes,maturity,females 50-105 mmCW (entire model period), param_init_bounded_vector,pvLgtPrM2M,11,4,1,11, ARITHMETIC,-15,15,3.9636429225,5.40767794112,-15,15,3.9636429225,5.40767794112,1.0504
22_03d5p,selectivity,selectivity,"size at 1 for NMFS survey selectivity (males, pre-1982)", param_init_bounded_number,pS1[1],1,-1,1,1, ARITHMETIC,80,180,179,179,80,180,179,179,NA
22_03d5p,selectivity,selectivity,"size at 1 for NMFS survey selectivity (males, 1982+)", param_init_bounded_number,pS1[2],1,-1,1,1, ARITHMETIC,80,180,179,179,80,180,179,179,NA
22_03d5p,selectivity,selectivity,"size at 1 for NMFS survey selectivity (females, pre-1982)", param_init_bounded_number,pS1[3],1,-1,1,1, ARITHMETIC,70,130,129.9,129.9,70,130,129.9,129.9,NA
22_03d5p,selectivity,selectivity,"size at 1 for NMFS survey selectivity (females, 1982+)", param_init_bounded_number,pS1[4],1,-1,1,1, ARITHMETIC,70,130,129.9,129.9,70,130,129.9,129.9,NA
22_03d5p,selectivity,selectivity,z50 for TCF retention (pre-1991), param_init_bounded_number,pS1[5],1,1,1,1, ARITHMETIC,85,160,139.10145721,139.543039458,85,160,139.10145721,139.543039458,0.46618
22_03d5p,selectivity,selectivity,z50 for TCF retention (1991-1996), param_init_bounded_number,pS1[6],1,1,1,1, ARITHMETIC,85,160,138.537479487,139.128097618,85,160,138.537479487,139.128097618,0.46524
22_03d5p,selectivity,selectivity,DUMMY VALUE, param_init_bounded_number,pS1[7],1,-1,1,1, ARITHMETIC,4,5,4.5,4.5,4,5,4.5,4.5,NA
